code_type,code,canonical_icao,name
IATA,YCO,CYCO,Kugluktuk Airport - Coppermine - Canada
ICAO,CYCT,CYCT,Coronation Airport - Coronation - Canada
IATA,YCT,CYCT,Coronation Airport - Coronation - Canada
ICAO,CYCW,CYCW,Chilliwack Airport - Chilliwack - Canada
IATA,YCW,CYCW,Chilliwack Airport - Chilliwack - Canada
ICAO,CYCY,CYCY,Clyde River Airport - Clyde River - Canada
IATA,YCY,CYCY,Clyde River Airport - Clyde River - Canada
ICAO,CYZS,CYZS,Coral Harbour Airport - Coral Harbour - Canada
IATA,YZS,CYZS,Coral Harbour Airport - Coral Harbour - Canada
ICAO,CYDA,CYDA,Dawson City Airport - Dawson - Canada
IATA,YDA,CYDA,Dawson City Airport - Dawson - Canada
ICAO,CYDB,CYDB,Burwash Airport - Burwash - Canada
IATA,YDB,CYDB,Burwash Airport - Burwash - Canada
ICAO,CYDC,CYDC,Princeton Airport - Princeton - Canada
ICAO,CYDF,CYDF,Deer Lake Airport - Deer Lake - Canada
IATA,YDF,CYDF,Deer Lake Airport - Deer Lake - Canada
ICAO,CYDL,CYDL,Dease Lake Airport - Dease Lake - Canada
IATA,YDL,CYDL,Dease Lake Airport - Dease Lake - Canada
ICAO,CYDN,CYDN,Dauphin Barker Airport - Dauphin - Canada
IATA,YDN,CYDN,Dauphin Barker Airport - Dauphin - Canada
ICAO,CYDQ,CYDQ,Dawson Creek Airport - Dawson Creek - Canada
IATA,YDQ,CYDQ,Dawson Creek Airport - Dawson Creek - Canada
ICAO,CYEG,CYEG,Edmonton International Airport - Edmonton - Canada
IATA,YEG,CYEG,Edmonton International Airport - Edmonton - Canada
ICAO,CYEK,CYEK,Arviat Airport - Eskimo Point - Canada
IATA,YEK,CYEK,Arviat Airport - Eskimo Point - Canada
ICAO,CYEN,CYEN,Estevan Airport - Estevan - Canada
IATA,YEN,CYEN,Estevan Airport - Estevan - Canada
ICAO,CYET,CYET,Edson Airport - Edson - Canada
IATA,YET,CYET,Edson Airport - Edson - Canada
ICAO,CYEU,CYEU,Eureka Airport - Eureka - Canada
