AirlineID,Name,Alias,IATA,ICAO,Country
130,Aeroflot Russian Airlines,\N,SU,AFL,Russia
131,Aero Empresa Mexicana,\N,,AFO,Mexico
132,Air Bosna,\N,JA,BON,Bosnia and Herzegovina
133,Air Bravo,\N,,BRF,Uganda
134,Air Brasd'or,\N,,BRL,Canada
135,Air 500,\N,,BRM,Canada
136,Alba Servizi Aerotrasporti,\N,,AFQ,Italy
137,Air France,\N,AF,AFR,France
138,Air Partner,\N,,ACG,United Kingdom
139,Air Caledonie International,\N,SB,ACI,France
140,Air Caledonia,\N,,ACM,Canada
141,Air Guam,\N,,AGM,United States
142,Air Gabon,\N,GN,AGN,Gabon
143,Air Data,\N,,AFS,United Kingdom
144,Air Afrique Vacancies,\N,,AFV,Ivory Coast
145,Air Cargo America,\N,,MVM,United States
146,Air Salone,\N,2O,,Sierra Leone
147,Air-Angol,\N,,NGO,Angola
148,Air Nigeria,\N,,NGP,Nigeria
149,Air Cargo Carriers,\N,2Q,SNC,United States
150,Air Samarkand,\N,,SND,Uzbekistan
151,Air Senegal International,\N,V7,SNG,Senegal
152,Air Sandy,\N,,SNY,Canada
153,Air Namibia,\N,SW,NMB,Namibia
154,Air Intersalonika,\N,,NSK,Greece
155,Air Anatolia,\N,,NTL,Turkey
156,Air Saigon,\N,,SGA,Vietnam
157,Afrique Regional Airways,\N,,AFW,Ivory Coast
158,Airfreight Express,\N,,AFX,United Kingdom
159,Africa Chartered Services,\N,,AFY,Nigeria
160,Africa Freight Services,\N,,AFZ,Zambia
161,Aeronaves Del Centro,\N,,AGA,Venezuela
162,Air Service Gabon,\N,G8,AGB,Gabon
163,Arab Agricultural Aviation Company,\N,,AGC,Egypt
164,Atlantic Gulf Airlines,\N,,AGF,United States
165,Aerolitoral,\N,5D,SLI,Mexico
166,Algoma Airways,\N,,AGG,Canada
167,Altagna,\N,,AGH,France
168,Angola Air Charter,\N,,AGO,Angola
169,Angola Air Charter,\N,,AGO,Angola
170,AERFI Group,\N,,AGP,Ireland
171,Aerogala,\N,,AGQ,Chile
172,Amadeus Global Travel Distribution,\N,1A,AGT,Spain
